n,MSE (PINN vs Analytical),MSE (Numerical vs Analytical)
0,0.00011068127424670817,2.455779604054632e-09
1,4.522422348426301e-06,1.761571694348649e-08
5,3.488542002933377e-07,1.7274266824771866e-07
