n,Mean Absolute Difference,Max Absolute Difference,Mean Squared Error
0,0.00868791606121104,0.016259044004849343,0.00010981360031265985
1,0.001965666501779616,0.0030910303404659,4.445799501980049e-06
2,0.037603993483881035,0.28618266968925177,0.0049253719075808165
3,0.0009278913321088524,0.0017954864949677046,1.0542805897928104e-06
4,0.0026890224252644713,0.006203520899814269,1.0647895166395031e-05
5,0.0005798735262141303,0.0015781024397148735,5.39033912536686e-07
